Wahlkreisnr;Wahlkreisbez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBezname;Kreisname;GemVerbandname;Gemeindename;Gemeindeteil;Wahlkreisvon;Wahlkreisbis;ARS
1;Flensburg – Schleswig;01;0;01;0;000;Schleswig-Holstein;;Flensburg, Stadt;;Flensburg, Stadt;0;;;01001000
1;Flensburg – Schleswig;01;0;59;5996;001;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Alt Bennebek;0;;;01059001
1;Flensburg – Schleswig;01;0;59;5920;002;Schleswig-Holstein;;Schleswig-Flensburg;Kappeln-Land;Arnis, Stadt;0;;;01059002
1;Flensburg – Schleswig;01;0;59;5996;005;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Bergenhusen;0;;;01059005
1;Flensburg – Schleswig;01;0;59;5974;006;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Böel;0;;;01059006
1;Flensburg – Schleswig;01;0;59;5987;008;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Böklund;0;;;01059008
1;Flensburg – Schleswig;01;0;59;5996;009;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Börm;0;;;01059009
1;Flensburg – Schleswig;01;0;59;5993;010;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Bollingstedt;0;;;01059010
1;Flensburg – Schleswig;01;0;59;5915;012;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Borgwedel;0;;;01059012
1;Flensburg – Schleswig;01;0;59;5974;014;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Brebel;0;;;01059014
1;Flensburg – Schleswig;01;0;59;5987;016;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Brodersby;0;;;01059016
1;Flensburg – Schleswig;01;0;59;5915;018;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Busdorf;0;;;01059018
1;Flensburg – Schleswig;01;0;59;5915;019;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Dannewerk;0;;;01059019
1;Flensburg – Schleswig;01;0;59;5996;020;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Dörpstedt;0;;;01059020
1;Flensburg – Schleswig;01;0;59;5974;021;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Dollrottfeld;0;;;01059021
1;Flensburg – Schleswig;01;0;59;5993;023;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Ellingstedt;0;;;01059023
1;Flensburg – Schleswig;01;0;59;5996;024;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Erfde;0;;;01059024
1;Flensburg – Schleswig;01;0;59;5915;026;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Fahrdorf;0;;;01059026
1;Flensburg – Schleswig;01;0;59;5915;032;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Geltorf;0;;;01059032
1;Flensburg – Schleswig;01;0;59;5987;033;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Goltoft;0;;;01059033
1;Flensburg – Schleswig;01;0;59;5920;034;Schleswig-Holstein;;Schleswig-Flensburg;Kappeln-Land;Grödersby;0;;;01059034
1;Flensburg – Schleswig;01;0;59;5996;035;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Groß Rheide;0;;;01059035
1;Flensburg – Schleswig;01;0;59;5987;037;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Havetoft;0;;;01059037
1;Flensburg – Schleswig;01;0;59;5993;039;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Hollingstedt;0;;;01059039
1;Flensburg – Schleswig;01;0;59;5993;041;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Hüsby;0;;;01059041
1;Flensburg – Schleswig;01;0;59;5987;042;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Idstedt;0;;;01059042
1;Flensburg – Schleswig;01;0;59;5915;043;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Jagel;0;;;01059043
1;Flensburg – Schleswig;01;0;59;5993;044;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Jübek;0;;;01059044
1;Flensburg – Schleswig;01;0;59;0;045;Schleswig-Holstein;;Schleswig-Flensburg;;Kappeln, Stadt;0;;;01059045
1;Flensburg – Schleswig;01;0;59;5987;049;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Klappholz;0;;;01059049
1;Flensburg – Schleswig;01;0;59;5996;050;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Klein Bennebek;0;;;01059050
1;Flensburg – Schleswig;01;0;59;5996;051;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Klein Rheide;0;;;01059051
1;Flensburg – Schleswig;01;0;59;5996;053;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Kropp;0;;;01059053
1;Flensburg – Schleswig;01;0;59;5974;055;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Loit;0;;;01059055
1;Flensburg – Schleswig;01;0;59;5915;056;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Lottorf;0;;;01059056
1;Flensburg – Schleswig;01;0;59;5993;057;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Lürschau;0;;;01059057
1;Flensburg – Schleswig;01;0;59;5996;058;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Meggerdorf;0;;;01059058
1;Flensburg – Schleswig;01;0;59;5974;060;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Mohrkirch;0;;;01059060
1;Flensburg – Schleswig;01;0;59;5987;062;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Neuberend;0;;;01059062
1;Flensburg – Schleswig;01;0;59;5974;063;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Norderbrarup;0;;;01059063
1;Flensburg – Schleswig;01;0;59;5996;064;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Norderstapel;0;;;01059064
1;Flensburg – Schleswig;01;0;59;5974;065;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Nottfeld;0;;;01059065
1;Flensburg – Schleswig;01;0;59;5920;067;Schleswig-Holstein;;Schleswig-Flensburg;Kappeln-Land;Oersberg;0;;;01059067
1;Flensburg – Schleswig;01;0;59;5920;068;Schleswig-Holstein;;Schleswig-Flensburg;Kappeln-Land;Rabenkirchen-Faulück;0;;;01059068
1;Flensburg – Schleswig;01;0;59;5974;070;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Rügge;0;;;01059070
1;Flensburg – Schleswig;01;0;59;5974;072;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Saustrup;0;;;01059072
1;Flensburg – Schleswig;01;0;59;5987;073;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Schaalby;0;;;01059073
1;Flensburg – Schleswig;01;0;59;5974;074;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Scheggerott;0;;;01059074
1;Flensburg – Schleswig;01;0;59;0;075;Schleswig-Holstein;;Schleswig-Flensburg;;Schleswig, Stadt;0;;;01059075
1;Flensburg – Schleswig;01;0;59;5949;076;Schleswig-Holstein;;Schleswig-Flensburg;Amt Mittelangeln;Schnarup-Thumby;0;;;01059076
1;Flensburg – Schleswig;01;0;59;5993;077;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Schuby;0;;;01059077
1;Flensburg – Schleswig;01;0;59;5915;078;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Selk;0;;;01059078
1;Flensburg – Schleswig;01;0;59;5993;079;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Silberstedt;0;;;01059079
1;Flensburg – Schleswig;01;0;59;5974;080;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Steinfeld;0;;;01059080
1;Flensburg – Schleswig;01;0;59;5987;081;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Stolk;0;;;01059081
1;Flensburg – Schleswig;01;0;59;5987;082;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Struxdorf;0;;;01059082
1;Flensburg – Schleswig;01;0;59;5974;083;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Süderbrarup;0;;;01059083
1;Flensburg – Schleswig;01;0;59;5987;084;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Süderfahrenstedt;0;;;01059084
1;Flensburg – Schleswig;01;0;59;5996;085;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Süderstapel;0;;;01059085
1;Flensburg – Schleswig;01;0;59;5987;086;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Taarstedt;0;;;01059086
1;Flensburg – Schleswig;01;0;59;5996;087;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Tetenhusen;0;;;01059087
1;Flensburg – Schleswig;01;0;59;5996;088;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Tielen;0;;;01059088
1;Flensburg – Schleswig;01;0;59;5987;090;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Tolk;0;;;01059090
1;Flensburg – Schleswig;01;0;59;5993;092;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Treia;0;;;01059092
1;Flensburg – Schleswig;01;0;59;5987;093;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Uelsby;0;;;01059093
1;Flensburg – Schleswig;01;0;59;5974;094;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Ulsnis;0;;;01059094
1;Flensburg – Schleswig;01;0;59;5974;095;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Wagersrott;0;;;01059095
1;Flensburg – Schleswig;01;0;59;5996;096;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Wohlde;0;;;01059096
1;Flensburg – Schleswig;01;0;59;5987;097;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Twedt;0;;;01059097
1;Flensburg – Schleswig;01;0;59;5987;098;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Nübel;0;;;01059098
1;Flensburg – Schleswig;01;0;59;5919;101;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Tastrup;0;;;01059101
1;Flensburg – Schleswig;01;0;59;5990;102;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Ahneby;0;;;01059102
1;Flensburg – Schleswig;01;0;59;5919;103;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Ausacker;0;;;01059103
1;Flensburg – Schleswig;01;0;59;5952;105;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Böxlund;0;;;01059105
1;Flensburg – Schleswig;01;0;59;5937;106;Schleswig-Holstein;;Schleswig-Flensburg;Langballig;Dollerup;0;;;01059106
1;Flensburg – Schleswig;01;0;59;5912;107;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Eggebek;0;;;01059107
1;Flensburg – Schleswig;01;0;59;5990;109;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Esgrus;0;;;01059109
1;Flensburg – Schleswig;01;0;59;5990;112;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Gelting;0;;;01059112
1;Flensburg – Schleswig;01;0;59;0;113;Schleswig-Holstein;;Schleswig-Flensburg;;Glücksburg (Ostsee), Stadt;0;;;01059113
1;Flensburg – Schleswig;01;0;59;5952;115;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Großenwiehe;0;;;01059115
1;Flensburg – Schleswig;01;0;59;5919;116;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Großsolt;0;;;01059116
1;Flensburg – Schleswig;01;0;59;5937;118;Schleswig-Holstein;;Schleswig-Flensburg;Langballig;Grundhof;0;;;01059118
1;Flensburg – Schleswig;01;0;59;0;120;Schleswig-Holstein;;Schleswig-Flensburg;;Harrislee;0;;;01059120
1;Flensburg – Schleswig;01;0;59;5990;121;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Hasselberg;0;;;01059121
1;Flensburg – Schleswig;01;0;59;5952;123;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Hörup;0;;;01059123
1;Flensburg – Schleswig;01;0;59;5952;124;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Holt;0;;;01059124
1;Flensburg – Schleswig;01;0;59;5919;126;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Hürup;0;;;01059126
1;Flensburg – Schleswig;01;0;59;5919;127;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Husby;0;;;01059127
1;Flensburg – Schleswig;01;0;59;5912;128;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Janneby;0;;;01059128
1;Flensburg – Schleswig;01;0;59;5952;129;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Jardelund;0;;;01059129
1;Flensburg – Schleswig;01;0;59;5912;131;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Jerrishoe;0;;;01059131
1;Flensburg – Schleswig;01;0;59;5912;132;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Jörl;0;;;01059132
1;Flensburg – Schleswig;01;0;59;5990;136;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Kronsgaard;0;;;01059136
